customer_id,year,month,weekend_amount_spent,Num_of_weekend_visits,total_amount_spent,total_num_of_visits,end_date
207162,2019,9,1975.0,1,8883.25,4,2019/09/30
515174,2019,9,1622.5,2,1622.5,2,2019/09/30
329631,2019,10,32067.53,4,32067.53,4,2019/10/31
202951,2019,9,6321.04,4,18628.87,14,2019/09/30
271973,2019,6,8255.11,5,71453.16,15,2019/06/30
527701,2019,6,3213.7,2,3213.7,2,2019/06/30
216911,2019,10,5479.45,1,19567.95,4,2019/10/31
232033,2019,7,7301.05,4,23458.3,16,2019/07/31
249520,2019,7,9923.98,1,27188.35,9,2019/07/31
419140,2019,12,100.0,0,4403.5,2,2019/12/31
197267,2019,12,55523.2,3,81255.94,12,2019/12/31
375906,2019,12,2538.22,2,5146.6,5,2019/12/31
308630,2018,12,2022.02,2,17842.11,6,2018/12/31
191347,2018,12,6581.92,7,19339.59,18,2018/12/31
493520,2018,12,4622.22,3,19450.02,15,2018/12/31
228474,2018,12,4679.83,2,12542.14,3,2018/12/31
346761,2018,12,100.0,0,841.93,1,2018/12/31
197689,2019,8,20975.23,2,36348.87,5,2019/08/31
237720,2019,8,15873.39,2,15873.39,2,2019/08/31
271625,2019,8,6899.05,5,7341.55,7,2019/08/31
346816,2019,6,340.0,1,1999.0,4,2019/06/30
204928,2019,6,3017.5,1,26747.59,5,2019/06/30
169363,2019,6,640.0,3,1720.0,7,2019/06/30
249737,2018,11,15515.53,3,30902.61,7,2018/11/30
329363,2018,11,3493.47,5,16208.49,17,2018/11/30
407551,2018,11,10275.37,4,16140.52,6,2018/11/30
461819,2018,11,9919.87,3,17014.59,8,2018/11/30
232262,2018,11,4448.14,5,7713.7,8,2018/11/30
455292,2018,11,788.28,2,788.28,2,2018/11/30
209045,2019,3,20182.18,4,25342.18,8,2019/03/31
214501,2019,3,3265.0,2,3265.0,2,2019/03/31
438092,2019,3,5365.48,2,14449.53,5,2019/03/31
355750,2019,1,8330.56,7,21319.44,24,2019/01/31
330098,2019,1,4712.5,2,5654.5,4,2019/01/31
349405,2019,5,12892.12,6,20777.5,10,2019/05/31
168286,2019,5,2607.01,5,11582.98,15,2019/05/31
255422,2019,5,580.0,1,8038.24,9,2019/05/31
186735,2019,8,21973.68,5,24469.02,10,2019/08/31
189904,2019,1,7203.46,4,8736.61,5,2019/01/31
421589,2019,1,1795.66,4,6044.56,11,2019/01/31
194819,2017,4,10861.84,13,39106.66,39,2017/04/30
310977,2019,6,802.0,2,6101.34,8,2019/06/30
192531,2019,6,100.0,0,2153.5,1,2019/06/30
406798,2019,9,100.0,0,92425.27,10,2019/09/30
350391,2019,7,6196.15,2,20316.13,9,2019/07/31
432939,2019,7,100.0,0,22264.96,8,2019/07/31
224188,2019,11,7345.54,1,46592.95,14,2019/11/30
350739,2019,11,3897.25,5,15329.95,17,2019/11/30
451438,2019,11,100.0,0,1300.0,1,2019/11/30
360922,2018,11,1166.35,1,29688.5,8,2018/11/30
178198,2018,4,6514.12,3,55965.25,18,2018/04/30
288325,2018,4,5648.14,3,16056.64,9,2018/04/30
209675,2018,4,15703.06,3,39308.31,9,2018/04/30
323264,2019,2,14458.36,1,33306.43,7,2019/02/28
221736,2019,2,38439.88,6,65107.27,18,2019/02/28
179665,2019,2,648.88,2,1749.88,6,2019/02/28
329558,2018,5,8943.33,2,8943.33,2,2018/05/31
227652,2018,5,11601.01,5,35742.25,12,2018/05/31
329897,2018,5,21490.82,7,48605.14,16,2018/05/31
327823,2018,5,187.0,1,7096.75,2,2018/05/31
439671,2019,8,12179.56,3,20704.14,8,2019/08/31
348629,2019,6,7172.5,1,17752.0,3,2019/06/30
244003,2019,6,587.5,1,32312.78,5,2019/06/30
226664,2019,6,100.0,0,2623.0,2,2019/06/30
287992,2018,9,1060.0,2,1060.0,2,2018/09/30
309591,2018,9,3200.26,2,15510.36,7,2018/09/30
321393,2018,9,37954.59,4,37954.59,4,2018/09/30
171656,2019,9,30315.55,1,38659.41,4,2019/09/30
353084,2018,12,1042.0,2,2096.98,6,2018/12/31
206593,2018,12,100.0,0,21222.48,3,2018/12/31
177254,2018,8,422.92,1,422.92,1,2018/08/31
346816,2018,8,2812.0,1,16422.34,5,2018/08/31
200662,2018,8,7888.89,1,7993.89,2,2018/08/31
302055,2017,12,33934.02,9,66993.28,15,2017/12/31
494428,2017,12,499.0,1,1309.0,2,2017/12/31
449422,2017,12,13804.35,5,13804.35,5,2017/12/31
223569,2018,5,8990.35,1,20901.15,4,2018/05/31
412165,2018,5,1569.67,2,10170.97,12,2018/05/31
194864,2018,5,49431.06,7,68610.92,12,2018/05/31
329363,2018,5,6368.74,9,15689.05,16,2018/05/31
426998,2019,3,2501.5,1,5219.5,4,2019/03/31
426937,2019,2,1899.85,4,8671.15,15,2019/02/28
475405,2019,2,732.27,1,6095.65,6,2019/02/28
311584,2018,4,11705.65,1,11705.65,1,2018/04/30
385971,2018,4,1330.0,2,10656.93,5,2018/04/30
337239,2019,2,21023.08,4,21352.03,5,2019/02/28
366681,2019,2,3949.27,4,6516.28,6,2019/02/28
324841,2019,3,7347.31,5,18672.19,14,2019/03/31
437259,2019,5,100.0,0,3179.94,3,2019/05/31
392202,2019,5,10939.0,2,17249.5,4,2019/05/31
337134,2018,12,9326.53,3,64340.56,12,2018/12/31
266141,2018,9,2762.79,2,4530.4,5,2018/09/30
197988,2019,1,100.0,0,1495.0,1,2019/01/31
268360,2019,1,2314.12,3,10729.12,9,2019/01/31
191617,2017,10,30246.42,4,53791.69,9,2017/10/31
294471,2017,10,475.0,1,475.0,1,2017/10/31
321996,2017,10,14899.39,5,21190.93,7,2017/10/31
230536,2017,10,60056.19,11,80007.1,26,2017/10/31
466527,2017,10,4900.84,1,4900.84,1,2017/10/31
249473,2017,10,5942.5,1,13421.65,3,2017/10/31
179650,2018,10,7700.83,4,14964.79,8,2018/10/31
264241,2018,1,18418.44,4,21801.99,6,2018/01/31
197689,2017,6,9161.5,1,12915.78,2,2017/06/30
352226,2017,6,7813.02,2,11336.01,4,2017/06/30
461289,2017,6,7556.79,3,7950.1,4,2017/06/30
241221,2017,10,9813.49,2,22854.76,4,2017/10/31
182891,2017,10,3862.17,2,10591.87,7,2017/10/31
516413,2018,11,100.0,0,4452.36,1,2018/11/30
296728,2017,8,767.47,1,11538.01,7,2017/08/31
311216,2017,8,20386.66,6,32058.49,13,2017/08/31
438461,2018,9,6083.5,3,13484.43,7,2018/09/30
243035,2018,9,10286.23,6,19508.08,21,2018/09/30
242208,2018,9,1399.75,2,11443.05,6,2018/09/30
402678,2018,10,100.0,0,2190.18,1,2018/10/31
432497,2018,4,1288.42,1,12576.88,4,2018/04/30
336463,2018,4,1660.33,1,20105.02,3,2018/04/30
503094,2018,4,1444.6,3,4851.63,12,2018/04/30
419146,2017,6,1270.06,1,9924.72,7,2017/06/30
381326,2017,6,6331.06,2,7732.81,4,2017/06/30
504724,2017,7,12912.37,5,13677.37,7,2017/07/31
285226,2017,7,865.0,1,865.0,1,2017/07/31
203137,2017,7,13663.95,7,35826.43,15,2017/07/31
302563,2017,7,9136.05,5,17679.07,11,2017/07/31
248065,2018,8,12077.08,3,56152.23,22,2018/08/31
276717,2018,8,100.0,0,4741.42,3,2018/08/31
352840,2017,6,497.5,1,12316.44,5,2017/06/30
522779,2018,9,793.31,1,1833.67,2,2018/09/30
497960,2018,7,6699.81,3,18945.09,8,2018/07/31
479998,2017,8,2392.08,5,5593.56,8,2017/08/31
515358,2017,8,3427.0,3,17123.98,13,2017/08/31
285892,2017,8,3276.43,3,28726.0,9,2017/08/31
475703,2017,8,6576.47,3,23993.68,14,2017/08/31
297120,2018,3,5025.52,4,10110.94,10,2018/03/31
307922,2018,5,100.0,0,3862.0,1,2018/05/31
221736,2018,5,100.0,0,42785.89,6,2018/05/31
238392,2017,3,15451.87,4,19317.93,6,2017/03/31
438461,2018,4,100.0,0,18062.16,5,2018/04/30
305706,2018,2,76677.39,6,180170.29,12,2018/02/28
283886,2018,2,4888.39,3,6880.9,6,2018/02/28
455903,2018,2,100.0,0,775.0,1,2018/02/28
169405,2018,6,100.0,0,7856.35,7,2018/06/30
301650,2018,6,35999.46,6,68162.65,16,2018/06/30
278601,2018,9,100.0,0,15768.3,3,2018/09/30
171048,2018,3,695.32,1,8443.49,5,2018/03/31
397302,2018,3,13922.05,1,21149.74,4,2018/03/31
379373,2018,3,1735.0,1,5395.74,4,2018/03/31
453994,2018,5,235.0,1,6083.82,8,2018/05/31
225766,2018,5,9615.79,1,14331.82,7,2018/05/31
272335,2017,2,2084.32,1,2084.32,1,2017/02/28
211397,2017,2,1171.75,2,6756.9,14,2017/02/28
233631,2017,8,100.0,0,4253.5,1,2017/08/31
186353,2017,6,100.0,0,8143.16,3,2017/06/30
310977,2018,1,1088.65,1,3428.02,6,2018/01/31
309140,2017,9,100.0,0,13284.34,9,2017/09/30
360782,2017,9,100.0,0,22484.89,5,2017/09/30
210537,2017,5,7293.03,3,15274.69,6,2017/05/31
323870,2017,6,1032.78,1,6201.07,5,2017/06/30
346816,2017,2,100.0,0,2070.25,2,2017/02/28
194819,2017,1,10537.0,14,35111.7,44,2017/01/31
283576,2017,1,4518.7,4,6564.25,7,2017/01/31
281451,2017,1,7018.06,3,18718.39,8,2017/01/31
224949,2017,9,36528.64,5,52909.24,10,2017/09/30
290525,2017,1,7406.83,5,19017.63,14,2017/01/31
320745,2017,5,662.08,1,10062.16,10,2017/05/31
240842,2017,5,100.0,0,3322.75,2,2017/05/31
264700,2017,10,265.0,1,505.0,2,2017/10/31
526687,2017,10,2335.23,1,8568.69,4,2017/10/31
281541,2017,8,3707.5,1,4922.5,2,2017/08/31
308017,2017,11,7265.68,7,25932.84,14,2017/11/30
209940,2017,7,1192.0,1,11196.45,13,2017/07/31
289003,2017,7,100.0,0,2517.7,3,2017/07/31
198436,2017,7,6907.75,1,12299.46,3,2017/07/31
261602,2017,9,15881.79,3,37949.47,6,2017/09/30
257111,2017,1,1623.3,3,5572.32,8,2017/01/31
173322,2017,1,7165.75,2,15303.64,10,2017/01/31
234224,2017,1,16970.71,1,73656.85,8,2017/01/31
208027,2017,1,4099.75,3,40853.97,13,2017/01/31
417230,2019,4,10607.23,6,47003.74,27,2019/04/30
310855,2017,12,20813.31,6,33678.01,11,2017/12/31
436465,2017,12,2628.55,1,2628.55,1,2017/12/31
194864,2017,12,92538.67,9,95789.38,11,2017/12/31
406819,2017,12,5665.0,2,15641.52,4,2017/12/31
238190,2017,12,13413.2,4,17136.01,7,2017/12/31
477183,2019,12,947.5,2,8429.5,6,2019/12/31
279842,2019,12,1451.5,1,9145.2,2,2019/12/31
296516,2018,4,2674.84,2,30488.27,7,2018/04/30
207698,2019,5,34857.46,3,43802.23,7,2019/05/31
243648,2019,12,39237.7,5,41890.03,8,2019/12/31
362162,2019,12,1682.62,2,1682.62,2,2019/12/31
201831,2019,6,18377.08,5,32917.48,9,2019/06/30
368824,2019,12,100.0,0,7999.39,4,2019/12/31
390294,2018,9,41179.48,8,54259.48,11,2018/09/30
306296,2018,11,1255.0,1,1255.0,1,2018/11/30
364045,2018,4,17247.76,2,22401.4,3,2018/04/30
193916,2019,4,3208.81,4,15715.68,13,2019/04/30
454895,2019,4,2781.7,2,3537.7,4,2019/04/30
383420,2018,3,24412.81,5,39569.64,8,2018/03/31
524637,2018,9,722.5,1,1547.5,2,2018/09/30
239886,2018,6,30979.84,2,30979.84,2,2018/06/30
231857,2019,8,3982.81,1,7802.86,4,2019/08/31
479387,2019,3,1016.5,1,6167.79,3,2019/03/31
221657,2018,3,3166.0,4,3773.5,6,2018/03/31
464442,2019,7,100.0,0,2555.5,1,2019/07/31
489196,2018,10,6380.18,2,6380.18,2,2018/10/31
205307,2018,9,8747.04,3,8747.04,3,2018/09/30
248083,2019,3,100.0,0,21887.44,2,2019/03/31
224890,2019,3,4490.31,3,23974.07,11,2019/03/31
